filename,start_off,stop_off,total_off
A10_kinect.csv,25.0,6.0,31.0
A115_kinect.csv,19.0,1.0,20.0
A12_kinect.csv,15.0,17.0,32.0
A140_kinect.csv,23.0,1.0,24.0
A143_kinect.csv,22.0,12.0,34.0
A149_kinect.csv,9.0,12.0,21.0
A152_kinect.csv,8.0,2.0,10.0
A157_kinect.csv,86.0,13.0,99.0
A17_kinect.csv,15.0,10.0,25.0
A4_kinect.csv,10.0,10.0,20.0
A5_kinect.csv,1.0,9.0,10.0
A61_kinect.csv,28.0,10.0,38.0
A73_kinect.csv,4.0,8.0,12.0
A74_kinect.csv,30.0,4.0,34.0
A84_kinect.csv,3.0,46.0,49.0
A86_kinect.csv,0.0,0.0,0.0
A8_kinect.csv,9.0,0.0,9.0
A9_kinect.csv,11.0,9.0,20.0
A112_kinect.csv,32.0,24.0,56.0
A116_kinect.csv,42.0,62.0,104.0
A118_kinect.csv,35.0,12.0,47.0
A119_kinect.csv,33.0,24.0,57.0
A123_kinect.csv,41.0,13.0,54.0
A128_kinect.csv,43.0,22.0,65.0
A129_kinect.csv,19.0,9.0,28.0
A13_kinect.csv,42.0,3.0,45.0
A153_kinect.csv,6.0,1.0,7.0
A18_kinect.csv,16.0,19.0,35.0
A29_kinect.csv,21.0,15.0,36.0
A57_kinect.csv,6.0,1.0,7.0
A65_kinect.csv,4.0,0.0,4.0
A66_kinect.csv,5.0,6.0,11.0
A75_kinect.csv,2.0,5.0,7.0
A83_kinect.csv,4.0,22.0,26.0
A99_kinect.csv,16.0,11.0,27.0
B1_kinect.csv,5.0,3.0,8.0
A102_kinect.csv,4.0,22.0,26.0
A125_kinect.csv,1.0,0.0,1.0
A137_kinect.csv,27.0,2.0,29.0
A19_kinect.csv,7.0,12.0,19.0
A20_kinect.csv,1.0,8.0,9.0
A26_kinect.csv,0.0,3.0,3.0
A3_kinect.csv,2.0,2.0,4.0
A47_kinect.csv,2.0,2.0,4.0
A52_kinect.csv,17.0,20.0,37.0
A56_kinect.csv,8.0,36.0,44.0
A63_kinect.csv,14.0,4.0,18.0
A85_kinect.csv,31.0,37.0,68.0
A88_kinect.csv,82.0,45.0,127.0
A92_kinect.csv,10.0,11.0,21.0
A93_kinect.csv,23.0,0.0,23.0
A95_kinect.csv,31.0,0.0,31.0
B14_kinect.csv,1.0,1.0,2.0
B17_kinect.csv,0.0,1.0,1.0
A104_kinect.csv,2.0,10.0,12.0
A106_kinect.csv,2.0,8.0,10.0
A111_kinect.csv,42.0,0.0,42.0
A121_kinect.csv,4.0,4.0,8.0
A126_kinect.csv,2.0,30.0,32.0
A131_kinect.csv,33.0,17.0,50.0
A135_kinect.csv,21.0,34.0,55.0
A1_kinect.csv,21.0,11.0,32.0
A27_kinect.csv,3.0,17.0,20.0
A32_kinect.csv,13.0,11.0,24.0
A35_kinect.csv,7.0,4.0,11.0
A42_kinect.csv,15.0,0.0,15.0
A45_kinect.csv,2.0,15.0,17.0
A46_kinect.csv,7.0,2.0,9.0
A68_kinect.csv,23.0,2.0,25.0
A89_kinect.csv,2.0,7.0,9.0
B19_kinect.csv,4.0,2.0,6.0
B20_kinect.csv,5.0,1.0,6.0
A100_kinect.csv,4.0,0.0,4.0
A110_kinect.csv,0.0,13.0,13.0
A122_kinect.csv,26.0,32.0,58.0
A124_kinect.csv,17.0,0.0,17.0
A127_kinect.csv,45.0,14.0,59.0
A139_kinect.csv,11.0,6.0,17.0
A142_kinect.csv,1.0,9.0,10.0
A16_kinect.csv,7.0,15.0,22.0
A2_kinect.csv,23.0,3.0,26.0
A31_kinect.csv,3.0,10.0,13.0
A44_kinect.csv,0.0,47.0,47.0
A6_kinect.csv,5.0,6.0,11.0
A71_kinect.csv,15.0,2.0,17.0
A72_kinect.csv,16.0,3.0,19.0
A81_kinect.csv,18.0,23.0,41.0
A98_kinect.csv,4.0,31.0,35.0
B6_kinect.csv,1.0,3.0,4.0
A132_kinect.csv,12.0,30.0,42.0
A138_kinect.csv,108.0,7.0,115.0
A145_kinect.csv,8.0,11.0,19.0
A158_kinect.csv,33.0,3.0,36.0
A24_kinect.csv,3.0,13.0,16.0
A34_kinect.csv,12.0,3.0,15.0
A36_kinect.csv,7.0,3.0,10.0
A43_kinect.csv,24.0,3.0,27.0
A49_kinect.csv,8.0,23.0,31.0
A67_kinect.csv,1.0,3.0,4.0
A70_kinect.csv,3.0,1.0,4.0
A79_kinect.csv,31.0,23.0,54.0
A82_kinect.csv,4.0,33.0,37.0
A87_kinect.csv,57.0,18.0,75.0
A91_kinect.csv,9.0,6.0,15.0
B16_kinect.csv,5.0,2.0,7.0
B22_kinect.csv,2.0,1.0,3.0
A103_kinect.csv,4.0,0.0,4.0
A105_kinect.csv,23.0,3.0,26.0
A108_kinect.csv,14.0,68.0,82.0
A133_kinect.csv,41.0,60.0,101.0
A134_kinect.csv,36.0,6.0,42.0
A144_kinect.csv,22.0,10.0,32.0
A147_kinect.csv,1.0,13.0,14.0
A150_kinect.csv,29.0,0.0,29.0
A159_kinect.csv,3.0,5.0,8.0
A28_kinect.csv,4.0,18.0,22.0
A30_kinect.csv,10.0,0.0,10.0
A53_kinect.csv,1.0,40.0,41.0
A59_kinect.csv,2.0,8.0,10.0
A62_kinect.csv,0.0,4.0,4.0
B10_kinect.csv,5.0,6.0,11.0
B15_kinect.csv,0.0,4.0,4.0
B8_kinect.csv,1.0,4.0,5.0
A109_kinect.csv,8.0,5.0,13.0
A113_kinect.csv,4.0,15.0,19.0
A117_kinect.csv,69.0,19.0,88.0
A141_kinect.csv,0.0,19.0,19.0
A156_kinect.csv,4.0,3.0,7.0
A21_kinect.csv,5.0,6.0,11.0
A23_kinect.csv,2.0,8.0,10.0
A33_kinect.csv,2.0,8.0,10.0
A39_kinect.csv,6.0,2.0,8.0
A40_kinect.csv,30.0,8.0,38.0
A58_kinect.csv,3.0,36.0,39.0
A78_kinect.csv,73.0,31.0,104.0
A7_kinect.csv,4.0,2.0,6.0
A80_kinect.csv,2.0,0.0,2.0
A97_kinect.csv,45.0,44.0,89.0
B11_kinect.csv,42.0,4.0,46.0
B12_kinect.csv,2.0,3.0,5.0
A101_kinect.csv,4.0,0.0,4.0
A120_kinect.csv,9.0,0.0,9.0
A136_kinect.csv,2.0,22.0,24.0
A146_kinect.csv,24.0,0.0,24.0
A148_kinect.csv,16.0,3.0,19.0
A151_kinect.csv,11.0,10.0,21.0
A154_kinect.csv,12.0,9.0,21.0
A155_kinect.csv,10.0,8.0,18.0
A15_kinect.csv,8.0,19.0,27.0
A38_kinect.csv,5.0,2.0,7.0
A55_kinect.csv,2.0,19.0,21.0
A76_kinect.csv,30.0,0.0,30.0
A90_kinect.csv,30.0,45.0,75.0
B13_kinect.csv,3.0,2.0,5.0
B18_kinect.csv,1.0,4.0,5.0
B21_kinect.csv,12.0,3.0,15.0
B7_kinect.csv,2.0,5.0,7.0
A114_kinect.csv,0.0,6.0,6.0
A11_kinect.csv,6.0,4.0,10.0
A14_kinect.csv,50.0,6.0,56.0
A22_kinect.csv,8.0,14.0,22.0
A25_kinect.csv,2.0,10.0,12.0
A37_kinect.csv,4.0,3.0,7.0
A41_kinect.csv,5.0,5.0,10.0
A48_kinect.csv,4.0,6.0,10.0
A50_kinect.csv,33.0,0.0,33.0
A51_kinect.csv,4.0,14.0,18.0
A54_kinect.csv,16.0,2.0,18.0
A64_kinect.csv,15.0,2.0,17.0
A69_kinect.csv,9.0,3.0,12.0
A77_kinect.csv,12.0,28.0,40.0
A94_kinect.csv,47.0,3.0,50.0
A96_kinect.csv,1.0,0.0,1.0
B9_kinect.csv,1.0,4.0,5.0
